index,overallRisk,averageVolume,beta,marketCap,ebitda,forwardPE,totalRevenue
CBA.AX,3.0,2379518.0,0.832582,168959082496.0,1093452732.6971428,17.670753,26428000256.0
BHP.AX,2.0,7979777.0,0.834973,221365354496.0,26109999104.0,11.563492,54184001536.0
CSL.AX,3.0,929608.0,0.199324,129520762880.0,3876000000.0,23.797693,13310000128.0
WBC.AX,3.0,6291011.0,0.84084,73997721600.0,1093452732.6971428,11.174603,19793000448.0
ANZ.AX,3.0,6522287.0,0.833333,74591846400.0,1093452732.6971428,11.2027025,19837999104.0
FMG.AX,6.0,6624714.0,0.949659,61178941440.0,9594999808.0,12.737181,16871000064.0
NAB.AX,3.0,4740022.0,0.88063,89495846912.0,1093452732.6971428,12.995455,19531999232.0
MQG.AX,1.0,867210.0,1.132882,66192207872.0,1093452732.6971428,14.449788,19140999168.0
GMG.AX,6.0,3633712.0,0.807342,44079968256.0,676300032.0,20.539822,1968899968.0
WOW.AX,3.0,1930154.0,0.235049,46176542720.0,4012000000.0,23.38889,64293998592.0
WES.AX,1.0,1614387.0,0.762679,60764356608.0,4208000000.0,21.51004,43549999104.0
TLS.AX,6.0,23286052.0,0.346328,45524336640.0,6231000064.0,19.7,22702000128.0
RIO.AX,6.0,1406606.0,0.696696,183469686784.0,18742999040.0,10.669811,52445999104.0
WDS.AX,3.0,3828751.0,0.874337,72057561088.0,11566999552.0,12.483553,18407000064.0
TCL.AX,3.0,4659254.0,0.484481,40388292608.0,2095000064.0,65.4,4156999936.0
SQ2.AX,8.0,179913.0,2.336099,55491518464.0,-10593000.0,320.57144,19691530240.0
ALL.AX,6.0,1192915.0,0.899399,26942066688.0,1758000000.0,19.549765,5908700160.0
COL.AX,4.0,3065396.0,0.240671,21253634048.0,2276999936.0,19.13253,40590999552.0
SCG.AX,5.0,11733389.0,1.364114,13858315264.0,1093452732.6971428,12.714287,2531899904.0
S32.AX,1.0,19047473.0,0.974261,15089399808.0,2862000128.0,8.097561,7587999744.0
NCM.AX,3.0,2243095.0,0.626126,22865485824.0,1964000000.0,16.08176,4508000256.0
SUN.AX,1.0,3776018.0,0.748498,17313601536.0,3572999936.0,12.541285,18353999872.0
QBE.AX,1.0,3786477.0,0.785389,22545479680.0,2622000128.0,8.585227,15480999936.0
BXB.AX,2.0,3375597.0,0.531794,20992927744.0,1919000064.0,16.074469,6346100224.0
FPH.AX,5.0,397313.0,0.345193,11745273856.0,409500000.0,17.618579725789466,1581100032.0
COH.AX,1.0,157319.0,0.408033,17605806080.0,447900000.0,43.04013,1936099968.0
ASX.AX,5.0,556485.0,0.280469,10624494592.0,765600000.0,20.86692,1404300032.0
STO.AX,2.0,7708884.0,1.302422,25300129792.0,4574000128.0,10.671232,6991000064.0
RHC.AX,5.0,683261.0,0.543906,11142342656.0,1169400064.0,22.613953,14963900416.0
AMC.AX,8.0,1894815.0,0.853514,21038194688.0,1991000064.0,20.714287,14693999616.0
ORG.AX,4.0,4646668.0,1.452308,14522782720.0,575000000.0,10.948052,16526000128.0
IAG.AX,6.0,7518139.0,0.235735,14057568256.0,1551000064.0,14.769232,8817000448.0
SHL.AX,6.0,1072780.0,0.516141,14710206464.0,1721140992.0,19.45,8168948224.0
DXS.AX,5.0,3282633.0,0.648648,8142065664.0,447700000.0,11.469697,861200000.0
BSL.AX,1.0,1317662.0,1.431491,9685334016.0,2045900032.0,10.683417,18242500608.0
APA.AX,1.0,2675421.0,0.271021,10716728320.0,1664999936.0,27.451614,2912999936.0
TWE.AX,3.0,2835971.0,0.447766,8142445056.0,575299968.0,18.193548,2488300032.0
REA.AX,10.0,172834.0,1.001501,21525821440.0,552600000.0,39.642334,1392400000.0
AIA.AX,7.0,602503.0,0.763888,11003063296.0,401200000.0,61.083336,605000000.0
DMP.AX,4.0,398152.0,0.738834,4677335040.0,266687008.0,24.193548,2351485952.0
CPU.AX,2.0,1589905.0,0.754129,15364903936.0,1009555968.0,13.186529,3200845056.0
TAH.AX,1.0,6129638.0,0.734609,2361435136.0,235000000.0,17.25,2469900032.0
VCX.AX,3.0,10646533.0,1.383633,8353434112.0,745100032.0,13.107143,1230499968.0
MGR.AX,5.0,11659842.0,0.998498,9272770560.0,575000000.0,16.785713,1940000000.0
QAN.AX,4.0,8105982.0,1.021196,9605186560.0,4176000000.0,5.0636363,19815000064.0
GPT.AX,1.0,4763981.0,0.871246,7987969024.0,536700000.0,13.451613,861500032.0
EVN.AX,7.0,6891723.0,0.63626,6557126144.0,858628992.0,11.9,2226930944.0
SGP.AX,1.0,7048732.0,1.082957,9739653120.0,867000000.0,12.363636,2892000000.0
BLD.AX,9.0,2120335.0,1.356606,5151430656.0,431200000.0,24.578949,3460600064.0
